MatchDate,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Match_Result
2008-04-15,West Indies,Sri Lanka,"Beausejour Stadium, Gros Islet",West Indies,field,No Result
2015-03-18,South Africa,Sri Lanka,Sydney Cricket Ground,Sri Lanka,bat,South Africa
2010-01-13,India,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,field,Sri Lanka
2016-10-16,India,New Zealand,Himachal Pradesh Cricket Association Stadium,India,field,India
2011-07-09,England,Sri Lanka,Old Trafford,England,bat,England
2003-07-01,England,Zimbabwe,"Headingley, Leeds",Zimbabwe,field,No Result
2017-02-19,India,Pakistan,P Sara Oval,India,field,India
2008-02-08,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
2015-03-09,Bangladesh,England,Adelaide Oval,England,field,Bangladesh
2015-05-26,Pakistan,Zimbabwe,Gaddafi Stadium,Pakistan,bat,Pakistan
2014-11-02,India,Sri Lanka,Barabati Stadium,Sri Lanka,field,India
2022-06-19,Netherlands,England,"VRA Ground, Amstelveen",Netherlands,bat,England
2018-09-16,South Africa,West Indies,"Kensington Oval, Bridgetown",West Indies,field,South Africa
2009-09-30,Australia,Pakistan,SuperSport Park,Australia,field,Australia
2008-06-29,Pakistan,Sri Lanka,National Stadium,Pakistan,field,Sri Lanka
2016-10-12,Bangladesh,England,Zahur Ahmed Chowdhury Stadium,England,field,England
2011-02-19,Bangladesh,India,Shere Bangla National Stadium,Bangladesh,field,India
2023-03-20,Bangladesh,Ireland,Sylhet International Cricket Stadium,Ireland,field,No Result
2016-01-15,Australia,India,"Brisbane Cricket Ground, Woolloongabba",India,bat,Australia
2017-01-19,India,England,Barabati Stadium,England,field,India
2011-02-25,Bangladesh,Ireland,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh
2022-06-12,Oman,United States of America,"Moosa Cricket Stadium, Pearland",Oman,bat,Oman
2010-03-13,New Zealand,Australia,Westpac Stadium,Australia,field,New Zealand
2024-07-03,New Zealand,England,"County Ground, Bristol",England,field,England
2023-03-05,United Arab Emirates,Papua New Guinea,Dubai International Cricket Stadium,Papua New Guinea,field,Papua New Guinea
2009-09-17,England,Australia,Trent Bridge,Australia,bat,Australia
2017-09-24,Australia,India,Holkar Cricket Stadium,Australia,bat,India
2004-09-19,India,Pakistan,Edgbaston,Pakistan,field,Pakistan
2015-01-26,Australia,India,Sydney Cricket Ground,Australia,field,No Result
2008-03-12,Bangladesh,South Africa,Shere Bangla National Stadium,Bangladesh,bat,South Africa
2008-11-22,Zimbabwe,Sri Lanka,Harare Sports Club,Zimbabwe,bat,Sri Lanka
2023-10-28,Netherlands,Bangladesh,"Eden Gardens, Kolkata",Netherlands,bat,Netherlands
2009-03-20,West Indies,England,Providence Stadium,England,bat,England
2006-01-06,New Zealand,Sri Lanka,Westpac Stadium,New Zealand,bat,New Zealand
2010-10-05,Bangladesh,New Zealand,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh
2012-11-04,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,New Zealand,bat,Sri Lanka
2015-02-03,New Zealand,Pakistan,McLean Park,New Zealand,bat,New Zealand
2006-08-30,England,Pakistan,Sophia Gardens,Pakistan,field,No Result
2021-09-26,Australia,India,"Ray Mitchell Oval, Harrup Park, Mackay",Australia,bat,India
2003-04-03,Pakistan,Zimbabwe,Sharjah Cricket Association Stadium,Pakistan,bat,Pakistan
2017-02-15,Bangladesh,Ireland,Colombo Cricket Club Ground,Bangladesh,field,Bangladesh
2024-10-28,Zimbabwe,United States of America,Harare Sports Club,United States of America,field,United States of America
2008-11-12,Pakistan,West Indies,Sheikh Zayed Stadium,West Indies,bat,Pakistan
2023-11-08,England,Netherlands,"Maharashtra Cricket Association Stadium, Pune",England,bat,England
2019-05-17,England,Pakistan,Trent Bridge,England,field,England
2003-03-04,Pakistan,Zimbabwe,"Queens Sports Club, Bulawayo",Pakistan,bat,No Result
2019-06-06,Australia,West Indies,Trent Bridge,West Indies,field,Australia
2023-09-04,Nepal,India,Pallekele International Cricket Stadium,India,field,India
2016-10-05,South Africa,Australia,Kingsmead,Australia,bat,South Africa
2016-02-22,New Zealand,Australia,Bay Oval,Australia,field,Australia
2014-11-26,Sri Lanka,England,R Premadasa Stadium,England,field,Sri Lanka
2014-11-18,Australia,West Indies,Bradman Oval,Australia,bat,Australia
2015-10-11,India,South Africa,Green Park,South Africa,bat,South Africa
2024-12-27,West Indies,India,"Kotambi Stadium, Vadodara",West Indies,bat,India
2019-12-14,England,Pakistan,Kinrara Academy Oval,England,field,No Result
2007-07-01,India,South Africa,"Civil Service Cricket Club, Stormont",India,field,India
2005-02-25,South Africa,Zimbabwe,The Wanderers Stadium,Zimbabwe,field,South Africa
2017-09-21,India,Australia,Eden Gardens,India,bat,India
2017-02-11,Bangladesh,South Africa,P Sara Oval,Bangladesh,bat,South Africa
2012-08-31,Australia,Pakistan,Sheikh Zayed Stadium,Australia,bat,Pakistan
2022-09-15,Namibia,United States of America,"Amini Park, Port Moresby",Namibia,bat,Namibia
2023-06-26,West Indies,Netherlands,"Takashinga Sports Club, Highfield, Harare",Netherlands,field,No Result
2011-09-06,England,India,The Rose Bowl,England,field,England
2015-05-31,Pakistan,Zimbabwe,Gaddafi Stadium,Pakistan,bat,No Result
2017-05-19,Ireland,Bangladesh,Malahide,Bangladesh,field,Bangladesh
2010-06-07,Zimbabwe,Sri Lanka,Harare Sports Club,Zimbabwe,field,Zimbabwe
2009-09-27,South Africa,England,SuperSport Park,England,bat,England
2017-10-23,Sri Lanka,Pakistan,Sharjah Cricket Stadium,Sri Lanka,bat,Pakistan
2014-12-07,Sri Lanka,England,R Premadasa Stadium,England,bat,Sri Lanka
2007-10-14,India,Australia,Vidarbha Cricket Association Ground,Australia,bat,Australia
2005-05-08,West Indies,South Africa,"Sabina Park, Kingston",South Africa,field,South Africa
2018-07-13,Pakistan,Zimbabwe,Queens Sports Club,Zimbabwe,field,Pakistan
2022-11-09,Ireland,Pakistan,"Gaddafi Stadium, Lahore",Ireland,bat,Pakistan
2018-06-09,England,South Africa,"County Ground, New Road",England,bat,South Africa
2024-09-07,Ireland,England,"Civil Service Cricket Club, Stormont, Belfast",Ireland,bat,England
2005-08-21,Africa XI,Asia XI,Kingsmead,Africa XI,bat,No Result
2013-07-09,India,Sri Lanka,"Queen's Park Oval, Port of Spain",Sri Lanka,field,India
2008-06-28,Bangladesh,India,National Stadium,Bangladesh,bat,India
2018-07-20,Pakistan,Zimbabwe,Queens Sports Club,Pakistan,bat,Pakistan
2005-01-24,Zimbabwe,Bangladesh,MA Aziz Stadium,Zimbabwe,bat,Zimbabwe
2014-08-31,Zimbabwe,Australia,Harare Sports Club,Australia,bat,Zimbabwe
2022-07-01,Sri Lanka,India,Pallekele International Cricket Stadium,Sri Lanka,bat,India
2009-03-10,England,India,North Sydney Oval,England,field,England
2020-01-30,New Zealand,South Africa,Seddon Park,South Africa,field,South Africa
2007-12-26,New Zealand,Bangladesh,Eden Park,New Zealand,field,New Zealand
2017-10-31,New Zealand,Pakistan,Sharjah Cricket Stadium,New Zealand,bat,New Zealand
2015-03-12,South Africa,United Arab Emirates,Westpac Stadium,United Arab Emirates,field,South Africa
2021-09-26,England,New Zealand,"St Lawrence Ground, Canterbury",New Zealand,field,England
2011-08-10,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,bat,Australia
2019-03-16,Sri Lanka,England,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,field,England
2017-06-03,South Africa,Sri Lanka,Kennington Oval,Sri Lanka,field,South Africa
2015-01-23,Australia,England,Bellerive Oval,Australia,field,Australia
2017-10-22,South Africa,Bangladesh,Buffalo Park,South Africa,bat,South Africa
2023-12-15,Zimbabwe,Ireland,Harare Sports Club,Zimbabwe,bat,Ireland
2023-10-10,Sri Lanka,Pakistan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sri Lanka,bat,Pakistan
2016-06-20,England,Pakistan,Grace Road,England,field,England
2019-04-12,Zimbabwe,United Arab Emirates,Harare Sports Club,Zimbabwe,field,Zimbabwe
2022-11-17,England,Australia,Adelaide Oval,Australia,field,Australia
2015-01-31,New Zealand,Pakistan,Westpac Stadium,New Zealand,field,New Zealand
2022-04-09,Scotland,Papua New Guinea,Dubai International Cricket Stadium,Papua New Guinea,field,Scotland
2006-02-12,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
2022-08-21,West Indies,New Zealand,"Kensington Oval, Bridgetown, Barbados",New Zealand,field,New Zealand
2015-05-29,Pakistan,Zimbabwe,Gaddafi Stadium,Pakistan,field,Pakistan
2022-03-24,South Africa,West Indies,"Basin Reserve, Wellington",West Indies,field,No Result
2019-02-07,Pakistan,West Indies,Dubai International Cricket Stadium,West Indies,bat,West Indies
2015-02-28,India,United Arab Emirates,Western Australia Cricket Association Ground,United Arab Emirates,bat,India
2024-09-26,United Arab Emirates,Namibia,"Wanderers Cricket Ground, Windhoek",Namibia,field,Namibia
2009-03-06,New Zealand,India,Westpac Stadium,India,bat,No Result
2018-08-01,Sri Lanka,South Africa,Rangiri Dambulla International Stadium,Sri Lanka,bat,South Africa
2021-07-07,Pakistan,West Indies,"Coolidge Cricket Ground, Antigua",West Indies,field,West Indies
2006-09-02,England,Pakistan,Lord's,Pakistan,field,Pakistan
2019-03-02,India,Australia,"Rajiv Gandhi International Stadium, Uppal",Australia,bat,India
2011-12-08,India,West Indies,Holkar Cricket Stadium,India,bat,India
2008-02-12,New Zealand,England,Seddon Park,New Zealand,field,New Zealand
2008-06-18,England,New Zealand,Edgbaston,New Zealand,field,No Result
2024-11-10,Australia,Pakistan,Perth Stadium,Pakistan,field,Pakistan
2003-02-19,Canada,Sri Lanka,"Boland Bank Park, Paarl",Sri Lanka,field,Sri Lanka
2019-01-23,New Zealand,India,McLean Park,New Zealand,bat,India
2023-07-01,Ireland,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Ireland,bat,West Indies
2023-08-31,Bangladesh,Sri Lanka,Pallekele International Cricket Stadium,Bangladesh,bat,Sri Lanka
2020-02-08,Nepal,United States of America,Tribhuvan University International Cricket Ground,United States of America,field,Nepal
2008-07-04,West Indies,Australia,"Warner Park, Basseterre",West Indies,field,Australia
2008-02-22,Ireland,South Africa,Stellenbosch University 1,Ireland,bat,South Africa
2022-02-06,England,Australia,"Junction Oval, Melbourne",Australia,field,Australia
2012-07-16,West Indies,New Zealand,"Warner Park, Basseterre",West Indies,bat,West Indies
2021-11-21,Pakistan,Bangladesh,"Old Hararians, Harare",Bangladesh,field,Bangladesh
2022-07-12,England,India,"Kennington Oval, London",India,field,India
2013-07-07,West Indies,Sri Lanka,"Queen's Park Oval, Port of Spain",West Indies,field,Sri Lanka
2019-05-19,England,Pakistan,Headingley,England,bat,England
2003-02-22,England,Pakistan,"Newlands, Cape Town",England,bat,England
2011-03-12,India,South Africa,"Vidarbha Cricket Association Stadium, Jamtha",India,bat,South Africa
2023-07-29,India,West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,field,West Indies
2017-07-20,India,Australia,County Ground,India,bat,India
2023-10-08,Australia,India,"MA Chidambaram Stadium, Chepauk, Chennai",Australia,bat,India
2013-02-01,England,Sri Lanka,Brabourne Stadium,Sri Lanka,field,Sri Lanka
2022-03-25,Bangladesh,Australia,"Basin Reserve, Wellington",Australia,field,Australia
2006-01-26,Australia,Sri Lanka,Adelaide Oval,Sri Lanka,bat,Australia
2004-01-09,Australia,India,Melbourne Cricket Ground,Australia,bat,Australia
2018-10-10,England,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,field,No Result
2011-02-26,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,Pakistan
2012-07-11,England,India,Sir Paul Getty's Ground,England,field,England
2013-02-15,England,New Zealand,Brabourne Stadium,England,field,England
2022-09-20,Namibia,Papua New Guinea,"Amini Park, Port Moresby",Namibia,bat,Namibia
2017-07-15,Pakistan,Sri Lanka,Grace Road,Sri Lanka,bat,Sri Lanka
2015-02-15,India,Pakistan,Adelaide Oval,India,bat,India
2013-07-20,Sri Lanka,South Africa,R Premadasa Stadium,South Africa,field,Sri Lanka
2011-03-01,Sri Lanka,Kenya,R Premadasa Stadium,Kenya,bat,Sri Lanka
2022-03-21,United Arab Emirates,Nepal,Dubai International Cricket Stadium,Nepal,field,United Arab Emirates
2022-03-05,Oman,United Arab Emirates,"ICC Academy, Dubai",United Arab Emirates,field,Oman
2016-02-14,South Africa,England,Newlands,South Africa,field,South Africa
2006-10-18,Australia,West Indies,Brabourne Stadium,West Indies,bat,West Indies
2022-08-05,Bangladesh,Zimbabwe,Harare Sports Club,Zimbabwe,field,Zimbabwe
2023-10-21,Ireland,Scotland,"Desert Springs Cricket Ground, Almeria",Ireland,bat,Ireland
2009-12-27,India,Sri Lanka,Feroz Shah Kotla,India,field,No Result
2007-01-16,England,New Zealand,Bellerive Oval,New Zealand,bat,England
2007-01-19,Australia,England,"Brisbane Cricket Ground, Woolloongabba",England,bat,Australia
2022-06-22,Netherlands,England,"VRA Ground, Amstelveen",England,field,England
2024-11-27,Bangladesh,Ireland,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh
2019-03-10,South Africa,Sri Lanka,Kingsmead,Sri Lanka,field,South Africa
2007-12-20,Australia,New Zealand,Bellerive Oval,New Zealand,field,Australia
2003-11-06,India,New Zealand,"Barabati Stadium, Cuttack",India,bat,New Zealand
2017-08-24,Sri Lanka,India,Pallekele International Cricket Stadium,India,field,India
2018-09-13,India,Sri Lanka,Galle International Stadium,India,bat,India
2008-02-23,New Zealand,England,AMI Stadium,New Zealand,field,New Zealand
2010-01-26,Australia,Pakistan,Adelaide Oval,Australia,bat,Australia
2014-01-08,New Zealand,West Indies,Seddon Park,New Zealand,field,West Indies
2011-10-15,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,bat,West Indies
2003-03-02,England,Australia,"St George's Park, Port Elizabeth",England,bat,Australia
2023-09-12,India,Sri Lanka,"R Premadasa Stadium, Colombo",India,bat,India
2014-08-26,Australia,Pakistan,Peter Burge Oval,Pakistan,bat,Australia
2008-01-24,Pakistan,Zimbabwe,"Niaz Stadium, Hyderabad",Zimbabwe,bat,Pakistan
2007-10-17,India,Australia,Wankhede Stadium,Australia,bat,India
2007-03-24,England,Kenya,"Beausejour Stadium, Gros Islet",Kenya,bat,England
2014-12-03,Sri Lanka,England,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,England
2024-08-16,Sri Lanka,Ireland,"Civil Service Cricket Club, Stormont, Belfast",Ireland,field,Ireland
2011-12-06,Bangladesh,Pakistan,Zahur Ahmed Chowdhury Stadium,Pakistan,bat,Pakistan
2018-05-11,South Africa,Bangladesh,Diamond Oval,South Africa,bat,South Africa
2022-08-21,Pakistan,Netherlands,"Hazelaarweg, Rotterdam",Pakistan,bat,Pakistan
2006-09-14,India,West Indies,Kinrara Academy Oval,India,bat,West Indies
2020-11-03,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,Zimbabwe,bat,No Result
2023-06-27,Sri Lanka,Scotland,"Queens Sports Club, Bulawayo",Scotland,field,Sri Lanka
2017-05-14,Ireland,New Zealand,Malahide,Ireland,field,New Zealand
2010-03-11,New Zealand,Australia,Eden Park,Australia,field,Australia
2015-11-01,Sri Lanka,West Indies,R Premadasa Stadium,Sri Lanka,field,Sri Lanka
2010-02-08,New Zealand,Bangladesh,University Oval,New Zealand,field,New Zealand
2022-03-06,Namibia,Oman,"ICC Academy, Dubai",Namibia,bat,Namibia
2016-10-23,India,New Zealand,"Punjab Cricket Association Stadium, Mohali",India,field,India
2004-11-02,New Zealand,Bangladesh,MA Aziz Stadium,New Zealand,bat,New Zealand
2016-02-06,South Africa,England,St George's Park,South Africa,bat,England
2016-06-05,West Indies,Australia,Providence Stadium,Australia,field,Australia
2014-12-17,New Zealand,Pakistan,Sheikh Zayed Stadium,New Zealand,bat,New Zealand
2007-01-28,Australia,New Zealand,Western Australia Cricket Association Ground,Australia,bat,Australia
2023-07-02,Zimbabwe,Sri Lanka,"Queens Sports Club, Bulawayo",Sri Lanka,field,Sri Lanka
2003-02-24,Zimbabwe,Australia,"Queens Sports Club, Bulawayo",Zimbabwe,bat,Australia
2017-07-11,Pakistan,West Indies,Grace Road,Pakistan,field,West Indies
2023-10-22,New Zealand,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala",India,field,India
2009-04-24,Australia,Pakistan,Dubai Sports City Cricket Stadium,Pakistan,bat,Australia
2014-08-30,England,India,Trent Bridge,India,field,India
2007-11-30,Zimbabwe,West Indies,Harare Sports Club,West Indies,field,Zimbabwe
2024-12-08,Australia,India,"Allan Border Field, Brisbane",Australia,bat,Australia
2023-03-23,Zimbabwe,Netherlands,Harare Sports Club,Zimbabwe,bat,Zimbabwe
2015-11-16,United Arab Emirates,Hong Kong,ICC Academy,Hong Kong,bat,Hong Kong
2009-09-12,Sri Lanka,India,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka
2013-09-11,England,Australia,Edgbaston,Australia,field,No Result
2013-03-23,Sri Lanka,Bangladesh,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,field,Sri Lanka
2017-09-03,Sri Lanka,India,"R.Premadasa Stadium, Khettarama",Sri Lanka,bat,India
2011-03-25,New Zealand,South Africa,Shere Bangla National Stadium,New Zealand,bat,New Zealand
2010-05-24,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",South Africa,bat,South Africa
2021-03-20,Bangladesh,New Zealand,University Oval,New Zealand,field,New Zealand
2013-12-26,New Zealand,West Indies,Eden Park,West Indies,field,West Indies
2010-05-28,West Indies,South Africa,"Windsor Park, Roseau",South Africa,bat,South Africa
2008-11-17,India,England,Maharani Usharaje Trust Cricket Ground,India,bat,India
2018-11-07,New Zealand,Pakistan,Sheikh Zayed Stadium,New Zealand,bat,New Zealand
2024-01-23,Ireland,Zimbabwe,Harare Sports Club,Zimbabwe,field,Ireland
2005-11-04,South Africa,New Zealand,Kingsmead,South Africa,bat,No Result
2014-02-28,West Indies,England,"Sir Vivian Richards Stadium, North Sound",England,field,West Indies
2018-02-10,India,South Africa,Senwes Park,India,bat,South Africa
2011-03-13,Australia,Kenya,M Chinnaswamy Stadium,Australia,bat,Australia
2007-07-01,England,West Indies,Lord's,West Indies,field,England
2016-01-05,New Zealand,Sri Lanka,Bay Oval,Sri Lanka,field,New Zealand
2013-01-25,South Africa,New Zealand,Senwes Park,New Zealand,bat,South Africa
2005-04-15,India,Pakistan,Green Park,India,bat,Pakistan
2008-01-27,Pakistan,Zimbabwe,Multan Cricket Stadium,Pakistan,bat,Pakistan
2015-01-20,New Zealand,Sri Lanka,Saxton Oval,Sri Lanka,bat,New Zealand
2023-10-17,Netherlands,South Africa,"Himachal Pradesh Cricket Association Stadium, Dharamsala",South Africa,field,Netherlands
2009-10-02,Australia,England,SuperSport Park,England,bat,Australia
2022-06-14,Oman,Nepal,"Moosa Cricket Stadium, Pearland",Oman,bat,Nepal
2019-10-02,Pakistan,Sri Lanka,National Stadium,Sri Lanka,bat,Pakistan
2017-12-20,West Indies,New Zealand,Cobham Oval (New),New Zealand,field,New Zealand
2022-08-10,Bangladesh,Zimbabwe,Harare Sports Club,Zimbabwe,field,Bangladesh
2010-12-04,India,New Zealand,Reliance Stadium,India,field,India
2024-10-25,United States of America,Scotland,"Grand Prairie Stadium, Dallas",Scotland,field,Scotland
2018-03-10,New Zealand,England,Hagley Oval,England,field,England
2024-08-06,Scotland,Papua New Guinea,"Sportpark Maarschalkerweerd, Utrecht",Papua New Guinea,field,Scotland
2003-07-03,England,South Africa,"Old Trafford, Manchester",England,bat,South Africa
2014-08-20,West Indies,Bangladesh,"National Cricket Stadium, St George's",West Indies,field,West Indies
2023-03-13,Papua New Guinea,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Nepal
2006-03-12,South Africa,Australia,New Wanderers Stadium,Australia,bat,South Africa
2019-10-09,Australia,Sri Lanka,Allan Border Field,Sri Lanka,bat,Australia
2012-02-20,Kenya,Ireland,Mombasa Sports Club Ground,Ireland,bat,Ireland
2007-02-20,New Zealand,Australia,Seddon Park,Australia,bat,New Zealand
2007-05-10,Bangladesh,India,Shere Bangla National Stadium,Bangladesh,bat,India
2023-07-12,Australia,England,"County Ground, Bristol",Australia,bat,England
2019-01-08,New Zealand,Sri Lanka,Saxton Oval,Sri Lanka,field,New Zealand
2018-03-15,Scotland,United Arab Emirates,Queens Sports Club,Scotland,bat,Scotland
2013-06-09,New Zealand,Sri Lanka,Sophia Gardens,Sri Lanka,bat,New Zealand
2019-02-20,West Indies,England,"Kensington Oval, Barbados",West Indies,bat,England
2015-06-18,Bangladesh,India,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh
2020-02-26,Sri Lanka,West Indies,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",West Indies,field,Sri Lanka
2019-12-15,India,West Indies,"MA Chidambaram Stadium, Chepauk",West Indies,field,West Indies
2024-10-27,New Zealand,India,"Narendra Modi Stadium, Ahmedabad",New Zealand,bat,New Zealand
2022-02-18,India,New Zealand,"John Davies Oval, Queenstown",New Zealand,field,New Zealand
2008-06-08,Bangladesh,Pakistan,Shere Bangla National Stadium,Bangladesh,field,Pakistan
2021-07-09,Pakistan,West Indies,"Coolidge Cricket Ground, Antigua",Pakistan,bat,West Indies
2015-08-19,South Africa,New Zealand,SuperSport Park,New Zealand,field,South Africa
2015-10-05,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,field,Pakistan
2003-01-15,Sri Lanka,Australia,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sri Lanka,bat,Australia
2017-08-27,Sri Lanka,India,Pallekele International Cricket Stadium,Sri Lanka,bat,India
2018-09-22,West Indies,South Africa,"Kensington Oval, Bridgetown",West Indies,bat,West Indies
2019-07-03,England,New Zealand,Riverside Ground,England,bat,England
2009-01-24,Pakistan,Sri Lanka,Gaddafi Stadium,Sri Lanka,bat,Sri Lanka
2023-12-23,South Africa,Bangladesh,"Willowmoore Park, Benoni",South Africa,bat,South Africa
2010-01-29,Australia,Pakistan,Western Australia Cricket Association Ground,Australia,bat,Australia
2021-05-25,Bangladesh,Sri Lanka,Sher-e-Bangla National Cricket Stadium,Bangladesh,bat,Bangladesh
2022-03-09,Oman,United Arab Emirates,"ICC Academy, Dubai",Oman,bat,Oman
2008-08-29,Sri Lanka,India,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka
2014-09-02,Australia,South Africa,Harare Sports Club,South Africa,field,Australia
2021-06-02,Netherlands,Ireland,"Sportpark Maarschalkerweerd, Utrecht",Netherlands,bat,Netherlands
2005-01-31,Zimbabwe,Bangladesh,Bangabandhu National Stadium,Zimbabwe,bat,Bangladesh
2011-03-15,Ireland,South Africa,Eden Gardens,Ireland,field,South Africa
2018-02-04,South Africa,India,SuperSport Park,India,field,India
2023-06-19,Sri Lanka,United Arab Emirates,"Queens Sports Club, Bulawayo",United Arab Emirates,field,Sri Lanka
2023-01-27,South Africa,England,"Mangaung Oval, Bloemfontein",South Africa,bat,South Africa
2021-09-25,Papua New Guinea,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Scotland,field,Scotland
2011-12-05,India,West Indies,"Sardar Patel Stadium, Motera",India,field,West Indies
2019-03-13,India,Australia,Arun Jaitley Stadium,Australia,bat,Australia
2007-09-08,England,India,Lord's,India,bat,England
2018-03-17,Papua New Guinea,Hong Kong,Old Hararians,Papua New Guinea,bat,Papua New Guinea
2022-08-22,India,Zimbabwe,Harare Sports Club,India,bat,India
2019-05-09,South Africa,Pakistan,Senwes Park,South Africa,field,South Africa
2023-05-12,Ireland,Bangladesh,"County Ground, Chelmsford",Bangladesh,field,Bangladesh
2003-03-18,Australia,Sri Lanka,"St George's Park, Port Elizabeth",Australia,bat,Australia
2017-03-09,West Indies,England,"Kensington Oval, Bridgetown",West Indies,field,England
2019-05-11,England,Pakistan,The Rose Bowl,Pakistan,field,England
2006-12-02,Bermuda,Netherlands,Willowmoore Park,Netherlands,bat,Bermuda
2021-07-13,Ireland,South Africa,"The Village, Malahide, Dublin",South Africa,field,Ireland
2013-06-20,India,Sri Lanka,Sophia Gardens,India,field,India
2003-06-07,Sri Lanka,West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,field,Sri Lanka
2013-08-25,England,Australia,County Ground,Australia,bat,England
2024-12-23,Australia,New Zealand,"Basin Reserve, Wellington",Australia,bat,Australia
2011-03-11,Ireland,West Indies,"Punjab Cricket Association Stadium, Mohali",Ireland,field,West Indies
2022-08-18,Zimbabwe,India,Harare Sports Club,India,field,India
2022-12-04,Nepal,Scotland,"United Cricket Club Ground, Windhoek",Scotland,field,Scotland
2004-01-20,India,Zimbabwe,Brisbane Cricket Ground,India,bat,India
2024-10-26,Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,field,West Indies
2021-04-04,New Zealand,Australia,Bay Oval,Australia,field,Australia
2010-08-18,Ireland,Netherlands,Clontarf Cricket Club Ground,Netherlands,bat,Ireland
2018-01-21,Scotland,United Arab Emirates,ICC Academy,United Arab Emirates,field,Scotland
2023-06-20,United States of America,Nepal,"Takashinga Sports Club, Highfield, Harare",Nepal,field,Nepal
2020-02-07,South Africa,England,Kingsmead,England,field,No Result
2017-10-22,India,New Zealand,Wankhede Stadium,India,bat,New Zealand
2024-09-24,Australia,England,"Riverside Ground, Chester-le-Street",England,field,England
2018-07-16,Zimbabwe,Pakistan,Queens Sports Club,Zimbabwe,bat,Pakistan
2013-10-31,Bangladesh,New Zealand,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh
2024-02-17,Netherlands,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Nepal
2016-11-15,Sri Lanka,England,R Premadasa Stadium,Sri Lanka,bat,England
2007-03-29,West Indies,New Zealand,"Sir Vivian Richards Stadium, North Sound",New Zealand,field,New Zealand
2019-05-13,Bangladesh,West Indies,"The Village, Malahide",West Indies,bat,Bangladesh
2019-06-27,India,West Indies,Old Trafford,India,bat,India
2003-11-01,Australia,India,"Wankhede Stadium, Mumbai",Australia,bat,Australia
2003-02-19,India,Zimbabwe,Harare Sports Club,Zimbabwe,field,India
2014-01-24,Australia,England,Western Australia Cricket Association Ground,Australia,field,England
2024-10-02,South Africa,Ireland,"Zayed Cricket Stadium, Abu Dhabi",South Africa,bat,South Africa
2017-06-24,England,India,County Ground,England,field,India
2020-09-16,England,Australia,Old Trafford,England,bat,Australia
2015-07-12,Zimbabwe,India,Harare Sports Club,Zimbabwe,field,India
2011-08-20,Sri Lanka,Australia,R Premadasa Stadium,Sri Lanka,bat,Australia
2022-11-18,United Arab Emirates,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Nepal
2015-10-14,India,South Africa,Holkar Cricket Stadium,India,bat,India
2023-01-23,Zimbabwe,Ireland,Harare Sports Club,Zimbabwe,bat,No Result
2017-06-25,West Indies,India,"Queen's Park Oval, Port of Spain",West Indies,field,India
2003-11-07,Bangladesh,England,"MA Aziz Stadium, Chittagong",Bangladesh,bat,England
2021-07-16,Bangladesh,Zimbabwe,Harare Sports Club,Zimbabwe,field,Bangladesh
2007-08-22,Zimbabwe,South Africa,Queens Sports Club,Zimbabwe,bat,South Africa
2019-12-18,India,West Indies,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,West Indies,field,India
2018-03-11,New Zealand,West Indies,Hagley Oval,West Indies,field,New Zealand
2014-08-27,Australia,South Africa,Harare Sports Club,South Africa,field,South Africa
