MatchDate,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Match_Result
2009-10-03,New Zealand,Pakistan,New Wanderers Stadium,Pakistan,bat,New Zealand
2022-08-16,Pakistan,Netherlands,"Hazelaarweg, Rotterdam",Pakistan,bat,Pakistan
2015-02-21,Pakistan,West Indies,Hagley Oval,Pakistan,field,West Indies
2019-06-19,New Zealand,South Africa,Edgbaston,New Zealand,field,New Zealand
2004-09-14,Zimbabwe,Sri Lanka,Kennington Oval,Sri Lanka,field,Sri Lanka
2024-03-27,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Australia,field,Australia
2008-02-20,New Zealand,England,McLean Park,New Zealand,field,No Result
2008-06-14,India,Pakistan,Shere Bangla National Stadium,Pakistan,bat,Pakistan
2019-07-09,India,New Zealand,Old Trafford,New Zealand,bat,New Zealand
2011-10-20,India,England,"Punjab Cricket Association Stadium, Mohali",England,bat,India
2017-06-07,Pakistan,South Africa,Edgbaston,South Africa,bat,Pakistan
2022-06-01,United Arab Emirates,United States of America,"Moosa Cricket Stadium, Pearland",United Arab Emirates,bat,United States of America
2022-03-16,India,England,"Bay Oval, Mount Maunganui",England,field,England
2007-08-26,Zimbabwe,South Africa,Harare Sports Club,South Africa,bat,South Africa
2013-07-24,West Indies,Pakistan,"Beausejour Stadium, Gros Islet",Pakistan,field,Pakistan
2013-09-20,South Africa,Bangladesh,Willowmoore Park,South Africa,field,South Africa
2018-11-01,West Indies,India,Greenfield International Stadium,West Indies,bat,India
2008-11-24,Zimbabwe,Sri Lanka,Harare Sports Club,Zimbabwe,field,Sri Lanka
2022-07-15,New Zealand,Ireland,"The Village, Malahide, Dublin",New Zealand,bat,New Zealand
2022-03-05,South Africa,Bangladesh,"University Oval, Dunedin",Bangladesh,field,South Africa
2022-06-11,Ireland,South Africa,"Castle Avenue, Dublin",Ireland,bat,South Africa
2023-10-10,England,Bangladesh,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,field,England
2018-10-24,Zimbabwe,Bangladesh,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,Bangladesh
2006-09-18,Australia,West Indies,Kinrara Academy Oval,Australia,bat,West Indies
2009-04-03,South Africa,Australia,Kingsmead,Australia,bat,Australia
2016-02-08,New Zealand,Australia,Seddon Park,Australia,field,New Zealand
2016-07-02,England,Sri Lanka,Sophia Gardens,Sri Lanka,field,England
2015-12-28,New Zealand,Sri Lanka,Hagley Oval,Sri Lanka,bat,New Zealand
2003-11-18,England,Sri Lanka,Rangiri Dambulla International Stadium,England,bat,Sri Lanka
2009-11-29,South Africa,England,St George's Park,South Africa,bat,England
2019-10-09,India,South Africa,Reliance Stadium,South Africa,bat,India
2023-01-18,Ireland,Zimbabwe,Harare Sports Club,Zimbabwe,field,Zimbabwe
2009-01-26,Australia,South Africa,Adelaide Oval,Australia,bat,South Africa
2024-11-28,Pakistan,Zimbabwe,"Queens Sports Club, Bulawayo",Pakistan,bat,Pakistan
2004-08-23,Australia,India,VRA Cricket Ground,Australia,bat,No Result
2016-11-04,Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Hong Kong,bat,Hong Kong
2004-02-27,Australia,Sri Lanka,R.Premadasa Stadium,Australia,bat,Australia
2019-07-07,England,Australia,St Lawrence Ground,England,field,Australia
2019-06-17,Bangladesh,West Indies,The Cooper Associates County Ground,Bangladesh,field,Bangladesh
2017-02-07,Sri Lanka,India,P Sara Oval,India,bat,India
2007-08-16,Scotland,India,Titwood,India,field,India
2020-03-04,South Africa,Australia,Mangaung Oval,Australia,bat,South Africa
2022-03-31,Australia,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,field,Pakistan
